"mode"	"mode_name"	"input_bytes"	"archive_bytes"	"bpb"	"codec_sha256"	"input_sha256"	"decoded_sha256"	"evidence_path"	"evidence_mtime"
"23"	"LstmCompress"	"1024"	"1098"	"8.578125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-lstm-compress-1k-20260826\verification.json"	"2026-08-26T12:46:37.3340977Z"
"24"	"DeltaOfDeltaZstd"	"1024"	"1099"	"8.5859375"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-delta-of-delta-zstd-1k-20260826\verification.json"	"2026-08-26T12:45:11.5178641Z"
"25"	"BgptSharedPrior"	"1024"	"1759"	"13.7421875"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-bgpt-shared-prior-1k-20260826\verification.json"	"2026-08-26T12:42:41.1555856Z"
"26"	"JaxCompressPortable"	"1024"	"1141"	"8.9140625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-jax-compress-portable-1k-20260826\verification.json"	"2026-08-26T12:40:31.0971784Z"
"27"	"Ppmd7"	"1024"	"1193"	"9.3203125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-ppmd7-1k-20260826\verification.json"	"2026-08-26T12:39:13.3548698Z"
"28"	"Ppmd8"	"1024"	"1194"	"9.328125"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-ppmd8-1k-20260826\verification.json"	"2026-08-26T12:38:01.8643276Z"
"29"	"Zpaq"	"1024"	"1365"	"10.6640625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-zpaq-1k-20260826\verification.json"	"2026-08-26T12:36:16.8262001Z"
"30"	"Ctw"	"1024"	"1135"	"8.867188"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-ctw-1k-20260826\verification.json"	"2026-08-26T12:28:58.2347000Z"
"31"	"Paq8pxApmPredictive"	"1024"	"1106"	"8.640625"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-fastpfor-1k-20260826\verification.json"	"2026-08-26T12:26:12.8558167Z"
"32"	"Paq8pxRecordModel"	"1024"	"1084"	"8.46875"	"FDE6F9ABC0F831CC9E35BF6B53C24654E06FBB2EE232856924E211A17B04A75B"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"8E7143FEF66EAF1B0A3DE8046F290F24DA96C2796C96084603BEE4D6F5C61F03"	"E:\MIXER\hybridzip\results\smoke\r2-postbuild-paq8px-record-model-1k-20260826\verification.json"	"2026-08-26T12:23:13.7328446Z"
